sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
170372,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170394,MSDU7956662,COEM /FIORENESE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170394B,MSDU7956662,COEM /FIORENESE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170395,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170395B,MSDU8402053,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170396,MSDU7956662,Tuscania S.P.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170445,TGBU6804260,Shunsen Industries Corporation,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170491,MEDU6282162,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170520,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170520B,SEGU2963797,Natural Stones S.R.L.,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170525,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170526,MSDU7956662,"StonePeak Ceramics, Inc",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170559,MSMU1234761,Brasigran Brasileira de Granitos Ltda,INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
170560,MSMU3159564,Cosmos Stones Dogal Tas Ic Ve Dis Ticaret Limited Sirketi,INTRANSIT,Missing,Complete,Complete,Complete,OF,,Missing
170567,CRSU1430738,Riva Stone Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170568,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170599,MSMU1250145,Riva Stone Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
170607,CAIU3042742,Riva Stone Ltda,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
